month,version,price,sales,comp_price_idx_x,sent_pos,price_bad_ratio,promotion_flag,memory,storage,comp_price_idx_y
2024-05-01,0,5499.0,23.01,4087.5,3.945,0.0,1.5,12.0,256.0,100.0
2024-05-01,4,6499.0,27.62,5218.75,3.985,0.0,1.5,12.0,256.0,100.0
2024-06-01,0,5386.875,36.82,4012.5,3.92,0.075,2.5,12.0,256.0,99.50743868114193
2024-06-01,4,6349.375,36.82,5131.25,3.96,0.1125,2.5,12.0,256.0,99.50743868114193
2024-07-01,0,5120.0,57.54,4200.0,4.9,0.16,0.0,12.0,256.0,98.34388821873743
2024-07-01,5,6060.0,34.52,5350.0,4.95,0.26,0.0,12.0,256.0,98.34388821873743
2024-08-01,0,4925.0,36.82,4200.0,3.92,0.1,0.0,12.0,256.0,97.35625251306796
2024-08-01,4,5925.0,23.01,5350.0,3.96,0.1625,0.0,12.0,256.0,97.35625251306796
2024-09-01,0,4680.0,46.03,4200.0,4.88,0.08,0.0,12.0,256.0,96.35102533172497
2024-09-01,5,5560.0,23.01,5350.0,4.93,0.1,0.0,12.0,256.0,96.35102533172497
2024-10-01,0,4425.0,64.44,4050.0,3.88,0.06875,1.5,12.0,256.0,95.11962203457982
2024-10-01,4,5125.0,36.82,5181.25,3.92,0.1,1.5,12.0,256.0,95.11962203457982
2024-11-01,0,4262.5,73.65,3837.5,3.88,0.0625,2.5,12.0,256.0,94.29030960997186
2024-11-01,4,4925.0,36.82,4937.5,3.92,0.0625,2.5,12.0,256.0,94.29030960997186
2024-12-01,0,4320.0,80.55,4020.0,4.85,0.0,0.0,12.0,256.0,93.7374346602332
2024-12-01,5,4960.0,46.03,5140.0,4.9,0.0,0.0,12.0,256.0,93.7374346602332
2025-01-01,0,4425.0,23.01,4200.0,3.865,0.0,0.0,12.0,256.0,92.93325291515883
2025-01-01,4,5125.0,13.81,5350.0,3.905,0.0,0.0,12.0,256.0,92.93325291515883
2025-02-01,0,4187.5,16.57,4200.0,3.84,0.0,0.0,12.0,256.0,92.00341777241657
2025-02-01,4,4962.5,4.6,5350.0,3.88,0.0,0.0,12.0,256.0,92.00341777241657
2025-03-01,0,4000.0,28.77,4200.0,4.8,0.0,0.0,12.0,256.0,91.19923602734218
2025-03-01,5,4860.0,17.26,5350.0,4.85,0.0,0.0,12.0,256.0,91.19923602734218
2025-04-01,0,4000.0,8.06,4200.0,0.96,0.0,0.0,12.0,256.0,
2025-04-01,1,4800.0,3.45,5350.0,0.97,0.0,0.0,12.0,256.0,
